"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","API Validation & Business Logic: Resource Management","","0","0","4","0","0"
"","Input Validation","","0","0","3","0","0"
"","Resource API Endpoints","","0","0","18","0","0"
"","User Authentication","","0","0","18","0","0"
"","Resources CRUD Operations","","0","0","9","0","0"
"","User API Endpoints","","0","0","22","0","0"
"","Users CRUD Operations","","0","0","8","0","0"
"","API Validation & Business Logic: User Management","","0","0","3","0","0"
"","Response Time Control","","0","0","2","0","0"
"","Service Health Check","","0","0","4","0","0"
"","Response Time","","0","0","2","0","0"
"","Business Rules","","0","0","2","0","0"
"","Authentication & Security: User Authentication","","0","0","2","0","0"
"","Service Monitoring","","0","0","1","0","0"
